return probability of panel,panel member 1,panel member 2,panel member 3,panel member 4,panel member 5,panel member 6,panel member 7,panel member 8,panel member 9,panel member 10,panel member 11,panel member 12,panel member 13,panel member 14,panel member 15,panel member 16,panel member 17,panel member 18,panel member 19,panel member 20,panel member 21,panel member 22,panel member 23,panel member 24,panel member 25,panel member 26,panel member 27,panel member 28,panel member 29,panel member 30
0.0012924685007322829,1,13,39,49,99,177,203,248,329,388,406,409,424,432,436,446,467,542,548,684,742,750,752,761,762,828,894,895,919,925
0.0020004188112723357,19,39,43,135,136,146,160,219,224,264,323,404,466,501,555,621,622,623,667,675,677,690,697,703,720,782,785,786,823,953
0.007552087015270182,100,136,162,278,323,393,436,460,467,501,521,527,532,537,696,724,749,750,829,842,859,863,873,879,908,919,945,966,984,987
0.00744534809314283,76,92,169,170,179,269,324,357,460,466,540,563,576,632,659,661,663,665,671,675,782,785,805,861,926,932,933,955,967,974
0.006434795344943693,34,54,144,164,168,186,213,241,254,267,291,342,395,401,415,426,447,448,516,532,535,537,540,590,653,708,725,732,814,863
0.0034564280752913193,100,186,223,278,298,351,381,393,407,460,602,698,724,744,750,755,829,847,877,879,908,913,919,945,957,966,978,984,987,994
0.0027647470275280737,34,99,160,169,190,196,298,327,340,381,388,431,542,558,563,568,576,598,621,622,623,643,667,698,751,792,926,932,958,963
0.002905128906044062,1,9,103,164,177,179,199,208,210,291,300,347,398,401,403,532,537,585,590,594,653,659,752,762,854,863,877,883,894,953
0.007982066366568829,5,46,94,98,170,179,219,261,356,404,431,446,451,548,575,631,659,720,736,739,760,785,837,879,895,908,945,966,987,994
0.004341985658434756,33,46,115,158,349,356,379,426,431,434,446,451,472,575,659,689,747,760,784,837,840,879,883,895,908,939,945,966,987,994
0.0009910392907374601,19,46,76,115,186,224,234,235,264,275,292,303,304,319,363,389,410,440,466,472,559,575,697,703,747,782,784,786,913,953
